"","bowler","adj_avg_bowl_rd","adj_bowl_rd","balls","avg_bowl_rd","total_bowl_rd","econ","bat_adj_bowl_avg","adj_bowl_avg","wickets","strike_rate","bowl_average"
"103","M Ashwin",0.695355738538352,16.6885377249204,25,0.757286526619896,18.1748766388775,13.25,0.894172395882781,0.674025948399454,0,208,52
"104","KM Asif",0.19995741042762,16.79642247592,91,0.152419764316282,12.8032602025677,9.85714285714286,0.306986566915873,0.443826276851264,3,141.758241758242,43
"105","J Little",0.0834274463102074,17.0191990472823,211,-0.116804008175741,-23.8280176678512,8.64705882352941,0.435583614242671,0.310708480778405,7,136.018957345972,41
"106","NA Saini",0.484481479797507,17.4413332727103,40,0.433122847315612,15.592422503362,12.3333333333333,-0.257688022617686,-0.318061015939214,3,175,23.3333333333333
"107","K Khejroliya",0.675010799600504,17.5502807896131,28,0.767966135554417,19.9671195244148,14.7692307692308,-0.139033030798607,0.114000979836287,2,221.428571428571,31
"108","Arjun Tendulkar",0.298067240478573,17.5859671882358,68,0.19920891927024,11.7533262369442,9.35593220338983,0.0966832422048707,-0.0786659247256973,3,122.058823529412,27.6666666666667
"109","Vijaykumar Vyshak",0.127120670993147,18.3053766230132,153,0.140673863860627,20.2570363959303,10.5416666666667,-0.265711927835698,-0.238402135364343,9,159.477124183007,27.1111111111111
"110","TG Southee",0.514510515588497,18.5223785611859,36,0.549592299620802,19.7853227863489,13.1666666666667,-0.123226116971137,0.0430528664063716,2,219.444444444444,39.5
"111","LH Ferguson",0.408411725955443,18.7869393939504,50,0.456074256486639,20.9794157983854,12.5217391304348,1.72729047062577,2.21876521634774,1,176,88
"112","Abhishek Sharma",0.304096464245677,21.8949454256888,75,0.362078724858072,26.0696681897812,10.3333333333333,0.700594579203387,0.962919195442361,2,161.333333333333,60.5
"113","RP Meredith",0.193234488730457,22.8016696701939,126,0.104942537670586,12.3832194451292,10.5254237288136,-0.0899645665841166,0.0358295940091796,7,157.142857142857,28.2857142857143
"114","Avesh Khan",0.131076915667238,22.8073833260994,176,0.128406531664556,22.3427365096328,9.75862068965517,0.116380685328133,0.235716570961297,8,157.386363636364,34.625
"115","Sikandar Raza",0.32274602299953,23.2377136559661,76,0.281630026079253,20.2773618777062,9.91666666666667,0.107200277537041,0.180926813452396,3,146.052631578947,37
"116","HR Shokeen",0.213940178856623,24.3891803896551,119,0.179074528224059,20.4144962175427,9.8421052631579,0.721765286253882,0.790820468613123,3,149.579831932773,59.3333333333333
"117","LS Livingstone",0.600278993088281,25.2117177097078,42,0.772943467121948,32.4636256191218,13.4285714285714,0.175183151915313,0.446443928512757,2,223.809523809524,47
"118","UT Yadav",0.226475006585498,25.8181507507467,116,0.270464401812296,30.8329418066017,9.94736842105263,4.2327142095848,4.76085677000693,1,161.206896551724,187
"119","SN Thakur",0.206405140829589,26.0070477445282,132,0.157963311326082,19.9033772270863,10.4761904761905,-0.073191956246706,0.0156421315497761,7,162.121212121212,30.5714285714286
"120","Arshdeep Singh",0.0922156595919162,28.1257761755344,324,0.0314193547318518,9.58290319321481,9.69836065573771,-0.165736890359906,-0.137705298902784,17,146.296296296296,27.8823529411765
"121","SM Curran",0.100454743590139,28.8305114103699,299,0.14472237227522,41.5353208429881,10.2229965156794,0.304085972138067,0.509305653541469,10,159.531772575251,47.7
"122","M Jansen",0.18025779158048,29.2017622360378,178,0.200658838110631,32.5067317739222,9.88888888888889,-0.333177886144574,-0.250191545475363,10,138.76404494382,24.7
